networkId,roadTemperature,airTemperature,airHumidity,precipitation,batteryLevel,rssi,seqNumber,transmissionSeqNumber,firmwareVersion,time,createdAt
14484CA85F3FB,,,,,,20.0,3506.0,,"1,7",2024-02-11T20:50:25.378,2024-02-11T20:50:25.584
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T20:52:30.000,2024-02-11T20:55:09.952
14484CA85F3FB,,,,,,18.0,3507.0,,"1,7",2024-02-11T20:55:04.742,2024-02-11T20:55:04.873
14484CA85F3FB,,,,,,18.0,3507.0,,"1,7",2024-02-11T20:55:05.056,2024-02-11T20:55:05.182
14484CA85F3FB,,,,,,19.0,3507.0,,"1,7",2024-02-11T20:55:05.288,2024-02-11T20:55:05.500
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T20:57:30.000,2024-02-11T20:59:10.212
14484CA85F3FB,,,,,,18.0,3508.0,,"1,7",2024-02-11T20:59:05.701,2024-02-11T20:59:05.911
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T21:02:30.000,2024-02-11T21:04:15.577
14484CA85F3FB,,,,,,17.0,3509.0,,"1,7",2024-02-11T21:04:11.124,2024-02-11T21:04:11.193
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T21:07:30.000,2024-02-11T21:10:34.508
14484CA85F3FB,,,,,,19.0,3510.0,,"1,7",2024-02-11T21:09:12.457,2024-02-11T21:09:12.733
14484CA85F3FB,,,,,,18.0,3510.0,,"1,7",2024-02-11T21:10:27.559,2024-02-11T21:10:34.453
14484CA85F3FB,,,,,,19.0,3510.0,,"1,7",2024-02-11T21:10:27.569,2024-02-11T21:10:34.459
14484CA85F3FB,,,,,,18.0,3510.0,,"1,7",2024-02-11T21:10:28.303,2024-02-11T21:10:34.463
14484CA85F3FB,,,,,,19.0,3510.0,,"1,7",2024-02-11T21:10:31.141,2024-02-11T21:10:34.466
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T21:12:30.000,2024-02-11T21:14:28.812
14484CA85F3FB,,,,,,19.0,3511.0,,"1,7",2024-02-11T21:14:12.885,2024-02-11T21:14:13.121
14484CA85F3FB,,,,,,18.0,3511.0,,"1,7",2024-02-11T21:14:24.296,2024-02-11T21:14:24.789
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:17:30.000,2024-02-11T21:19:05.419
14484CA85F3FB,,,,,,19.0,3512.0,,"1,7",2024-02-11T21:18:59.931,2024-02-11T21:19:00.161
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:22:30.000,2024-02-11T21:24:08.083
14484CA85F3FB,,,,,,18.0,3513.0,,"1,7",2024-02-11T21:24:05.206,2024-02-11T21:24:05.848
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:27:30.000,2024-02-11T21:29:05.799
14484CA85F3FB,,,,,,19.0,3514.0,,"1,7",2024-02-11T21:29:01.541,2024-02-11T21:29:01.858
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:32:30.000,2024-02-11T21:37:23.607
14484CA85F3FB,,,,,,18.0,3515.0,,"1,7",2024-02-11T21:37:16.891,2024-02-11T21:37:17.229
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:37:30.000,2024-02-11T21:40:29.845
14484CA85F3FB,,,,,,20.0,3516.0,,"1,7",2024-02-11T21:40:24.979,2024-02-11T21:40:25.937
14484CA85F3FB,-0.2,0.5,95.0,0.0,4.9,,,,,2024-02-11T21:42:30.000,2024-02-11T21:45:33.679
14484CA85F3FB,-0.2,0.5,95.0,0.0,4.9,,,,,2024-02-11T21:42:30.000,2024-02-11T21:45:33.686
14484CA85F3FB,-0.2,0.5,95.0,0.0,4.9,,,,,2024-02-11T21:42:30.000,2024-02-11T21:45:33.691
14484CA85F3FB,,,,,,18.0,3517.0,,"1,7",2024-02-11T21:45:13.783,2024-02-11T21:45:13.869
14484CA85F3FB,-0.2,0.5,95.0,0.0,4.9,,,,,2024-02-11T21:47:30.000,2024-02-11T21:49:08.730
14484CA85F3FB,,,,,,20.0,3518.0,,"1,7",2024-02-11T21:49:03.930,2024-02-11T21:49:04.074
14484CA85F3FB,-0.2,0.5,95.0,0.0,4.9,,,,,2024-02-11T21:52:30.000,2024-02-11T21:54:12.873
14484CA85F3FB,,,,,,18.0,3519.0,,"1,7",2024-02-11T21:54:08.099,2024-02-11T21:54:08.224
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T21:57:30.000,2024-02-11T21:59:12.627
14484CA85F3FB,,,,,,18.0,3520.0,,"1,7",2024-02-11T21:59:08.393,2024-02-11T21:59:08.535
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T22:02:30.000,2024-02-11T22:05:06.950
14484CA85F3FB,,,,,,18.0,3521.0,,"1,7",2024-02-11T22:05:02.833,2024-02-11T22:05:02.935
14484CA85F3FB,-0.2,0.5,95.0,0.0,5.0,,,,,2024-02-11T22:07:30.000,2024-02-11T22:09:16.682
14484CA85F3FB,,,,,,19.0,3522.0,,"1,7",2024-02-11T22:09:09.719,2024-02-11T22:09:10.123
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:12:30.000,2024-02-11T22:14:13.756
14484CA85F3FB,,,,,,20.0,3523.0,,"1,7",2024-02-11T22:14:09.370,2024-02-11T22:14:10.242
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:17:30.000,2024-02-11T22:19:17.973
14484CA85F3FB,,,,,,18.0,3524.0,,"1,7",2024-02-11T22:19:14.669,2024-02-11T22:19:14.866
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:22:30.000,2024-02-11T22:27:25.812
14484CA85F3FB,,,,,,19.0,3525.0,,"1,7",2024-02-11T22:27:20.943,2024-02-11T22:27:21.312
14484CA85F3FB,-0.2,0.5,94.0,0.0,4.9,,,,,2024-02-11T22:27:30.000,2024-02-11T22:30:02.525
14484CA85F3FB,,,,,,20.0,3526.0,,"1,7",2024-02-11T22:29:59.196,2024-02-11T22:29:59.418
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:32:30.000,2024-02-11T22:34:10.206
14484CA85F3FB,,,,,,18.0,3527.0,,"1,7",2024-02-11T22:34:06.830,2024-02-11T22:34:06.934
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:37:30.000,2024-02-11T22:39:06.672
14484CA85F3FB,,,,,,19.0,3528.0,,"1,7",2024-02-11T22:39:02.450,2024-02-11T22:39:02.598
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:42:30.000,2024-02-11T22:44:07.835
14484CA85F3FB,,,,,,18.0,3529.0,,"1,7",2024-02-11T22:44:04.067,2024-02-11T22:44:04.629
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:47:30.000,2024-02-11T22:50:11.493
14484CA85F3FB,,,,,,18.0,3530.0,,"1,7",2024-02-11T22:49:07.972,2024-02-11T22:49:08.731
14484CA85F3FB,,,,,,19.0,3530.0,,"1,7",2024-02-11T22:50:09.370,2024-02-11T22:50:09.888
14484CA85F3FB,,,,,,18.0,3530.0,,"1,7",2024-02-11T22:50:10.209,2024-02-11T22:50:10.487
