networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:47:30.000,2023-12-11T17:34:19.871
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:52:30.000,2023-12-11T17:34:24.311
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:57:30.000,2023-12-11T17:34:26.767
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:02:30.000,2023-12-11T17:34:30.724
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:07:30.000,2023-12-11T17:34:35.888
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:12:30.000,2023-12-11T17:34:39.686
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:17:30.000,2023-12-11T17:34:43.572
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:22:30.000,2023-12-11T17:34:47.371
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:27:30.000,2023-12-11T17:34:54.384
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T17:32:30.000,2023-12-11T17:34:57.614
14484CA7BED21,,,,7.0,21.0,"1,4",cfg,2023-12-11T17:33:22.057,2023-12-11T17:33:22.204
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:37:30.000,2023-12-11T19:13:27.773
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:42:30.000,2023-12-11T19:13:33.986
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:47:30.000,2023-12-11T19:13:39.020
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T17:52:30.000,2023-12-11T19:13:44.043
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T17:57:30.000,2023-12-11T19:13:49.142
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:02:30.000,2023-12-11T19:13:56.205
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:07:30.000,2023-12-11T19:14:02.817
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:12:30.000,2023-12-11T19:14:07.578
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:17:30.000,2023-12-11T19:14:16.911
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:22:30.000,2023-12-11T19:14:21.027
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:27:30.000,2023-12-11T19:14:26.465
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:32:30.000,2023-12-11T19:14:31.763
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:37:30.000,2023-12-11T19:14:38.391
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:42:30.000,2023-12-11T19:14:40.896
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:47:30.000,2023-12-11T19:14:44.315
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:52:30.000,2023-12-11T19:14:48.162
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T18:57:30.000,2023-12-11T19:14:51.832
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:02:30.000,2023-12-11T19:14:55.707
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:07:30.000,2023-12-11T19:14:59.629
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:12:30.000,2023-12-11T19:15:03.741
14484CA7BED21,,,,6.0,22.0,"1,4",cfg,2023-12-11T19:13:22.565,2023-12-11T19:13:22.719
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:17:30.000,2023-12-11T20:53:32.367
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:22:30.000,2023-12-11T20:53:37.858
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:27:30.000,2023-12-11T20:53:43.711
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:32:30.000,2023-12-11T20:53:50.038
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:37:30.000,2023-12-11T20:53:53.528
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:42:30.000,2023-12-11T20:53:58.856
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:47:30.000,2023-12-11T20:54:03.809
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:52:30.000,2023-12-11T20:54:08.970
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T19:57:30.000,2023-12-11T20:54:14.869
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:02:30.000,2023-12-11T20:54:19.312
